timestamp,level,message,label
2026-07-01 00:14:13,ERROR,Payment gateway timeout,1
2026-07-01 00:16:56,INFO,API request received: GET /products,1
2026-07-01 00:37:37,ERROR,SQL injection pattern detected in request,-1
2026-07-01 01:21:10,INFO,API request received: GET /products,1
2026-07-01 01:26:38,ERROR,Brute force login pattern detected for user_952,-1
2026-07-01 01:29:39,WARNING,Cache miss for key user_57,1
2026-07-01 01:30:26,WARNING,Database connection retried,1
2026-07-01 01:33:06,ERROR,Multiple failed login attempts for user_210,-1
2026-07-01 01:34:47,INFO,Cache refreshed successfully,1
2026-07-01 01:41:36,INFO,User login successful for user_548,1
2026-07-01 01:48:06,WARNING,Database connection retried,1
2026-07-01 01:49:27,INFO,User login successful for user_181,1
2026-07-01 01:51:36,ERROR,Brute force login pattern detected for user_720,-1
2026-07-01 01:56:29,INFO,Database connection established,1
2026-07-01 01:59:51,ERROR,Brute force login pattern detected for user_151,-1
2026-07-01 02:06:26,WARNING,Cache miss for key user_495,1
2026-07-01 02:10:50,INFO,API request received: GET /products,1
2026-07-01 02:21:47,INFO,API request received: GET /users,1
2026-07-01 02:22:41,ERROR,Brute force login pattern detected for user_348,-1
2026-07-01 02:26:56,INFO,API request received: POST /orders,1
2026-07-01 02:49:41,INFO,API request received: POST /orders,1
2026-07-01 02:57:00,ERROR,SQL injection pattern detected in request,-1
2026-07-01 03:10:26,WARNING,Slow query detected: 493ms,1
2026-07-01 03:28:23,INFO,Config file accessed outside business hours,-1
2026-07-01 03:36:32,ERROR,Brute force login pattern detected for user_646,-1
2026-07-01 03:40:13,INFO,Database connection established,1
2026-07-01 03:44:27,INFO,API request received: GET /users,1
2026-07-01 03:47:41,WARNING,Cache miss for key user_951,1
2026-07-01 03:51:48,WARNING,Cache miss for key user_742,1
2026-07-01 03:58:23,INFO,Health check passed,1
2026-07-01 04:08:53,INFO,Health check passed,1
2026-07-01 04:14:09,INFO,Cache refreshed successfully,1
2026-07-01 04:16:08,WARNING,Cache miss for key user_288,1
2026-07-01 04:37:26,INFO,Database connection established,1
2026-07-01 04:45:54,INFO,Cache refreshed successfully,1
2026-07-01 04:53:40,WARNING,Database connection retried,1
2026-07-01 04:59:53,WARNING,Unusual outbound traffic detected: 400MB,-1
2026-07-01 05:04:32,INFO,User login successful for user_286,1
2026-07-01 05:22:56,INFO,Health check passed,1
2026-07-01 05:25:09,ERROR,Payment gateway timeout,1
2026-07-01 05:28:58,ERROR,Privilege escalation attempt blocked,-1
2026-07-01 05:33:12,ERROR,Suspicious IP access blocked from 192.168.601.80,-1
2026-07-01 05:34:45,ERROR,Suspicious IP access blocked from 192.168.615.61,-1
2026-07-01 05:37:38,ERROR,Brute force login pattern detected for user_111,-1
2026-07-01 05:50:27,WARNING,Slow query detected: 219ms,1
2026-07-01 06:05:35,INFO,Database connection established,1
2026-07-01 06:05:48,INFO,API request received: POST /orders,1
